titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000
timestamp,forecast,ORP1,ORP2,ORP3,ORP4,ORP5,ORP6,ORP7,ORP8,ORP9,ORP10,ORP11,ORP12,ORP13,timestamp,forecast,ORP1,ORP2,ORP3,ORP4,ORP5,ORP6,ORP7,ORP8,ORP9,ORP10,ORP11,ORP12,ORP13,timestamp,forecast,ORP1,ORP2,ORP3,ORP4,ORP5,ORP6,ORP7,ORP8,ORP9,ORP10,ORP11,ORP12,ORP13,timestamp,ORP1,ORP2,ORP3,ORP4,ORP5,ORP6,ORP7,ORP8,ORP9,ORP10,ORP11,ORP12,ORP13
1586776438000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586776720000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586776720000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586776720000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586776720000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586777003000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586777003000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586777003000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586777003000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586777285000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586777285000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586777285000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586777285000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586777568000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586777568000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586777568000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586777568000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586777850000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586777850000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586777850000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586777850000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586778133000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586778133000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586778133000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586778133000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586778415000,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1586778415000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586778415000,0,0,0,0,0,0,0,0,0,0,0,0,1
1586778415000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586778697000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586778697000,5,0,0,1,0,0,0,0,0,0,0,1,0,0,1586778697000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586778697000,5,0,0,1,0,0,0,0,0,0,0,1,0,0,1586778980000,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1586778980000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586778980000,0,0,0,0,0,0,0,0,0,0,0,0,1
1586778980000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586779262000,5,0,0,0,0,0,0,0,0,1,0,1,0,0,1586779262000,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1586779262000,0,0,0,1,0,0,0,0,0,0,1,0,0
1586779262000,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1586779545000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1586779545000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1586779545000,0,0,0,0,0,0,0,0,1,0,1,0,0
1586779545000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1586779828000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1586779828000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1586779828000,0,0,0,0,0,0,0,0,1,0,0,0,0
1586779828000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1586780110000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586780110000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1586780110000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586780675000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1586780958000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586780958000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1586780958000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586780958000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1586781240000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586781240000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586781240000,0,0,0,0,0,0,0,0,0,0,0,0,0
